,CountryName,Date,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns
0,Hungary,20200101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hungary,20200102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hungary,20200103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Hungary,20200104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Hungary,20200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Hungary,20200106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Hungary,20200107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Hungary,20200108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Hungary,20200109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Hungary,20200110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Hungary,20200111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Hungary,20200112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Hungary,20200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Hungary,20200114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Hungary,20200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Hungary,20200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Hungary,20200117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Hungary,20200118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Hungary,20200119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Hungary,20200120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Hungary,20200121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Hungary,20200122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Hungary,20200123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Hungary,20200124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Hungary,20200125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Hungary,20200126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Hungary,20200127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Hungary,20200128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Hungary,20200129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Hungary,20200130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Hungary,20200131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Hungary,20200201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Hungary,20200202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Hungary,20200203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Hungary,20200204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Hungary,20200205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Hungary,20200206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Hungary,20200207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Hungary,20200208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Hungary,20200209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Hungary,20200210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Hungary,20200211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Hungary,20200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Hungary,20200213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Hungary,20200214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hungary,20200215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Hungary,20200216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Hungary,20200217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Hungary,20200218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Hungary,20200219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Hungary,20200220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Hungary,20200221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Hungary,20200222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Hungary,20200223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Hungary,20200224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Hungary,20200225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Hungary,20200226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Hungary,20200227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Hungary,20200228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Hungary,20200229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Hungary,20200301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
61,Hungary,20200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
62,Hungary,20200303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
63,Hungary,20200304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
64,Hungary,20200305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
65,Hungary,20200306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,Hungary,20200307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
67,Hungary,20200308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
68,Hungary,20200309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
69,Hungary,20200310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
70,Hungary,20200311,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0
71,Hungary,20200312,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0
72,Hungary,20200313,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0
73,Hungary,20200314,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0
74,Hungary,20200315,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0
75,Hungary,20200316,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
76,Hungary,20200317,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
77,Hungary,20200318,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
78,Hungary,20200319,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
79,Hungary,20200320,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
80,Hungary,20200321,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
81,Hungary,20200322,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
82,Hungary,20200323,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
83,Hungary,20200324,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
84,Hungary,20200325,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
85,Hungary,20200326,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0
86,Hungary,20200327,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0
87,Hungary,20200328,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
88,Hungary,20200329,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
89,Hungary,20200330,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
90,Hungary,20200331,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
91,Hungary,20200401,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
92,Hungary,20200402,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
93,Hungary,20200403,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
94,Hungary,20200404,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
95,Hungary,20200405,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
96,Hungary,20200406,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
97,Hungary,20200407,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
98,Hungary,20200408,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
99,Hungary,20200409,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
100,Hungary,20200410,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
101,Hungary,20200411,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
102,Hungary,20200412,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
103,Hungary,20200413,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
104,Hungary,20200414,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
105,Hungary,20200415,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
106,Hungary,20200416,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
107,Hungary,20200417,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
108,Hungary,20200418,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
